industry,model_name,intent_type,mention_status,run_count,citation_count,avg_citations_per_run,category,category_label,category_count,category_share_pct
電腦類,chatgpt,比較型,有品牌提及,44,198,4.5,ecommerce_site,電商 / 平台,13,6.6
電腦類,chatgpt,比較型,有品牌提及,44,198,4.5,other_category,其他來源,5,2.5
電腦類,chatgpt,比較型,有品牌提及,44,198,4.5,unknown,未知來源,0,0.0
電腦類,chatgpt,比較型,無品牌提及,10,38,3.8,brand_site,品牌 / 官方型來源,9,23.7
電腦類,chatgpt,比較型,無品牌提及,10,38,3.8,influencer_blogger,評測 / 部落格 / KOL,20,52.6
電腦類,chatgpt,比較型,無品牌提及,10,38,3.8,news_media,新聞媒體,3,7.9
電腦類,chatgpt,比較型,無品牌提及,10,38,3.8,social_media,社群媒體,0,0.0
電腦類,chatgpt,比較型,無品牌提及,10,38,3.8,ecommerce_site,電商 / 平台,5,13.2
電腦類,chatgpt,比較型,無品牌提及,10,38,3.8,other_category,其他來源,1,2.6
電腦類,chatgpt,比較型,無品牌提及,10,38,3.8,unknown,未知來源,0,0.0
電腦類,chatgpt,知識型,有品牌提及,34,106,3.12,brand_site,品牌 / 官方型來源,43,40.6
電腦類,chatgpt,知識型,有品牌提及,34,106,3.12,influencer_blogger,評測 / 部落格 / KOL,47,44.3
電腦類,chatgpt,知識型,有品牌提及,34,106,3.12,news_media,新聞媒體,4,3.8
電腦類,chatgpt,知識型,有品牌提及,34,106,3.12,social_media,社群媒體,1,0.9
電腦類,chatgpt,知識型,有品牌提及,34,106,3.12,ecommerce_site,電商 / 平台,7,6.6
電腦類,chatgpt,知識型,有品牌提及,34,106,3.12,other_category,其他來源,4,3.8
電腦類,chatgpt,知識型,有品牌提及,34,106,3.12,unknown,未知來源,0,0.0
電腦類,chatgpt,知識型,無品牌提及,19,32,1.68,brand_site,品牌 / 官方型來源,16,50.0
電腦類,chatgpt,知識型,無品牌提及,19,32,1.68,influencer_blogger,評測 / 部落格 / KOL,9,28.1
電腦類,chatgpt,知識型,無品牌提及,19,32,1.68,news_media,新聞媒體,2,6.2
電腦類,chatgpt,知識型,無品牌提及,19,32,1.68,social_media,社群媒體,0,0.0
電腦類,chatgpt,知識型,無品牌提及,19,32,1.68,ecommerce_site,電商 / 平台,4,12.5
電腦類,chatgpt,知識型,無品牌提及,19,32,1.68,other_category,其他來源,1,3.1
電腦類,chatgpt,知識型,無品牌提及,19,32,1.68,unknown,未知來源,0,0.0
電腦類,gemini,推薦型,有品牌提及,54,505,9.35,brand_site,品牌 / 官方型來源,119,23.6
電腦類,gemini,推薦型,有品牌提及,54,505,9.35,influencer_blogger,評測 / 部落格 / KOL,55,10.9
電腦類,gemini,推薦型,有品牌提及,54,505,9.35,news_media,新聞媒體,111,22.0
電腦類,gemini,推薦型,有品牌提及,54,505,9.35,social_media,社群媒體,125,24.8
