industry,canonical_name,avg_pos,n_runs,pct_first
行銷類,鯊客科技,0.204,30,26.7
行銷類,WebFX,0.315,12,8.3
行銷類,Ahrefs,0.344,24,20.8
行銷類,AAMAX,0.345,19,0.0
行銷類,戰國策集團,0.356,31,0.0
行銷類,Welly,0.418,24,0.0
行銷類,Google,0.454,95,29.5
行銷類,ADBest,0.519,17,0.0
行銷類,集客數據行銷,0.554,54,0.0
行銷類,Tenten,0.585,19,0.0
行銷類,將能數位行銷,0.593,55,0.0
行銷類,Harris,0.594,32,0.0
行銷類,Ranking,0.779,16,0.0
行銷類,ChatGPT,0.797,14,0.0
行銷類,MarTech Lab,0.814,13,0.0
行銷類,達文西數位科技,0.835,15,0.0
行銷類,SEM,0.867,15,6.7
行銷類,Welly SEO,0.894,60,0.0
行銷類,Harris 先生,0.951,18,0.0
金融類,DBS,0.0,10,100.0
金融類,HSBC,0.12,44,63.6
金融類,台新,0.174,97,39.2
金融類,台新銀行,0.206,16,31.2
金融類,聯邦,0.238,61,27.9
金融類,玉山,0.261,89,18.0
金融類,永豐,0.279,82,17.1
金融類,國泰,0.286,17,47.1
金融類,滙豐,0.296,77,24.7
金融類,DBS Bank,0.297,14,7.1
金融類,E.SUN,0.335,12,8.3
金融類,街口,0.336,12,8.3
金融類,蝦皮,0.351,19,21.1
金融類,中信,0.352,15,6.7
金融類,富邦,0.382,44,4.5
金融類,星展,0.429,41,9.8
金融類,永豐銀行,0.439,16,0.0
金融類,全支付,0.448,10,10.0
金融類,Shopee,0.456,14,0.0
金融類,聯邦銀行,0.484,10,0.0
金融類,momo,0.494,26,11.5
金融類,CUBE,0.501,21,9.5
金融類,玉山銀行,0.534,14,0.0
金融類,Taishin,0.562,18,0.0
金融類,台北富邦,0.571,13,0.0
金融類,E.SUN Bank,0.592,27,0.0
金融類,DAWHO,0.602,12,0.0
金融類,Taishin Bank,0.691,24,0.0
金融類,國泰世華,0.705,71,1.4
金融類,LINE,0.714,14,7.1
金融類,Bank SinoPac,0.744,13,0.0
金融類,Richart,0.781,41,2.4
金融類,Apple Pay,0.796,35,0.0
金融類,LINE Pay,0.8,82,1.2
金融類,LINE Bank,0.81,42,0.0
金融類,Cathay United Bank,0.925,22,0.0
金融類,Union Bank of Taiwan,0.996,16,0.0
電腦類,HP,0.012,83,95.2
電腦類,LG,0.033,23,82.6
電腦類,LINE,0.057,11,72.7
電腦類,SSD,0.072,17,70.6
電腦類,AMD,0.076,75,60.0
電腦類,MSI,0.151,52,28.8
電腦類,ROG,0.159,12,16.7
電腦類,RTX,0.246,15,20.0
電腦類,macOS,0.284,12,8.3
電腦類,ASUS,0.331,146,11.6
電腦類,Dell,0.403,51,2.0
電腦類,Adobe,0.42,12,16.7
電腦類,Acer,0.426,122,4.1
電腦類,iPhone,0.445,10,0.0
電腦類,HDD,0.467,14,7.1
電腦類,Office,0.518,14,7.1
電腦類,Apple,0.54,113,15.0
電腦類,Chrome,0.579,26,7.7
電腦類,Intel,0.603,102,0.0
電腦類,Ryzen,0.671,22,4.5
電腦類,MacBook,0.692,30,0.0
電腦類,MacBook Air,0.697,14,7.1
電腦類,NVIDIA,0.789,20,0.0
電腦類,YouTube,0.792,12,0.0
電腦類,Windows,0.845,60,0.0
電腦類,Lenovo,0.874,125,0.0
電腦類,Microsoft,0.954,17,0.0
電腦類,Snapdragon,0.963,12,0.0
食品業,寶泉,0.017,10,90.0
食品業,犁記,0.017,13,84.6
食品業,法朋,0.041,24,87.5
食品業,佳德,0.06,23,56.5
食品業,小潘,0.135,16,37.5
食品業,不二坊,0.179,134,41.8
食品業,如邑堂,0.25,10,10.0
食品業,蛋黃家,0.252,32,6.2
食品業,一福堂,0.256,63,15.9
食品業,玉珍齋,0.28,17,23.5
食品業,金葡萄,0.288,37,16.2
食品業,陳耀訓,0.322,66,16.7
食品業,貓茶町,0.331,39,0.0
食品業,裕珍馨,0.343,10,10.0
食品業,舊振南,0.357,34,5.9
食品業,艸式甜點,0.367,11,0.0
食品業,紀家烘焙坊,0.398,15,0.0
