model_name,intent_type,avg_response_chars,std_response_chars,median_response_chars,avg_mention_count,avg_citation_count,avg_search_kw_count,avg_kw_cjk_ratio,avg_kw_eng_ratio,pct_kw_with_year_marker,pct_kw_with_question_word,avg_response_cjk_ratio,avg_response_eng_ratio,n
chatgpt,推薦型,1544.5455,271.8337,1515,6.0427,5.1466,0.9981,0.7375,0.0533,68.0297,2.6022,0.4051,0.3265,539
chatgpt,比較型,1391.7421,413.1458,1408,2.2189,3.7625,0.9202,0.7883,0.1389,29.6371,12.5,0.4717,0.2494,539
chatgpt,知識型,1272.8887,386.4702,1312,0.6846,3.7365,0.859,0.8361,0.1119,17.7106,34.3413,0.4624,0.2676,539
gemini,推薦型,1244.5074,130.7876,1226.5,7.7944,11.0593,4.287,0.6306,0.1577,46.2635,5.9611,0.724,0.0847,540
gemini,比較型,1289.1852,210.8491,1282.0,4.6519,11.4,4.1222,0.6998,0.1687,30.1438,6.1995,0.7197,0.0659,540
gemini,知識型,1128.9741,192.9441,1119.5,2.0259,10.587,3.7556,0.7339,0.1575,25.8876,11.8836,0.7435,0.0651,540
